Date,Auction,Change
10/15/18,1,same
10/25/18,1,same
10/31/18,1,same
11/2/18,1,same
11/9/18,1,same
11/12/18,1,same
11/19/18,1,same
11/26/18,1,same
12/21/18,1,same
1/4/19,1,same
1/7/19,1,same
1/8/19,1,same
1/9/19,1,same
1/10/19,1,same
1/11/19,1,same
1/14/19,1,same
1/17/19,1,same
1/21/19,1,same
1/22/19,1,same
1/23/19,1,same
1/24/19,1,same
1/25/19,1,same
1/29/19,1,same
1/30/19,1,same
1/31/19,1,same
2/1/19,1,same
2/4/19,1,same
2/5/19,1,same
2/6/19,1,same
2/7/19,1,same
2/8/19,1,same
2/11/19,1,same
2/12/19,1,same
2/13/19,1,same
2/15/19,1,same
2/18/19,1,same
2/19/19,1,same
2/20/19,1,same
2/22/19,1,same
2/25/19,1,same
2/26/19,2.5,up
2/27/19,2.5,same
2/28/19,2.5,same
3/1/19,2.5,same
3/2/19,2.5,same
3/3/19,2.5,same
3/4/19,2.5,same
3/5/19,2.5,same
3/6/19,2.5,same
3/7/19,2.5,same
3/8/19,2.51,up
3/11/19,2.54,up
3/12/19,2.54,same
3/13/19,2.6,up
3/14/19,2.71,up
3/15/19,2.71,same
3/18/19,2.75,up
3/19/19,2.77,up
3/20/19,2.77,same
3/21/19,2.85,up
3/22/19,2.93,up
3/25/19,2.95,up
3/26/19,2.95,same
3/27/19,2.96,up
3/28/19,2.98,up
3/29/19,3.01,up
4/1/19,3.01,same
4/2/19,3.02,up
4/3/19,3.02,same
4/4/19,3.06,up
4/5/19,3.06,same
4/6/19,3.06,same
4/7/19,3.06,same
4/8/19,3.09,up
4/9/19,3.11,up
4/10/19,3.13,up
4/11/19,3.13,same
4/12/19,3.14,up
4/13/19,3.14,same
4/14/19,3.14,same
4/15/19,3.16,up
4/16/19,3.18,up
4/17/19,3.18,same
4/18/19,3.18,same
4/19/19,3.18,same
4/20/19,3.18,same
4/21/19,3.18,same
4/22/19,3.18,same
4/23/19,3.19,up
4/24/19,3.21,up
